schema_version,dataset,protocol,model,architecture,training_size,instance,group,depot_code,depot_type,customer_code,customer_type,demand_code,demand_type,route_size_code,route_size_type,status,failure_reason,cost,optimum,optimum_sources_agree,absolute_error,gap_percent,vehicles,no_aug_status,no_aug_failure_reason,no_aug_cost,no_aug_absolute_error,no_aug_gap_percent,no_aug_vehicles,no_aug_candidate_index,no_aug_policy_index,no_aug_candidates_generated,candidates_generated,candidate_index,augmentation_index,policy_index,inference_seconds_amortized,postprocess_seconds,physical_batch_size,checkpoint_epoch,checkpoint_sha256,checkpoint_path,routes_json
2,CVRPLIB XML100,xml100_mvmoe_greedy_8fold_official_euc2d_v2,am_direct_n50,am,50,XML100_1112_04,1112,1,random,1,random,1,unitary,2,short,ok,,21394,20461,True,933,4.559894433312155,20,ok,,21397,936,4.5745564732906505,20,0,0,1,8,7,7,0,0.0015885652974247932,0.0006969533860683441,128,100,bcdcdcf5ebc9b7ffdb70b6f2350a39b13b32829d1d92f5ad397e85e5ae2319c0,/root/autodl-tmp/split_v4_n50_eval_20260922/models/cvrp/am_direct/epoch-100.pt,solutions/am_direct_n50/XML100_1112_04.json
2,CVRPLIB XML100,xml100_mvmoe_greedy_8fold_official_euc2d_v2,am_direct_n50,am,50,XML100_1112_05,1112,1,random,1,random,1,unitary,2,short,ok,,28580,27833,True,747,2.6838644774188913,21,ok,,28735,902,3.2407573743398124,20,0,0,1,8,4,4,0,0.0015885652974247932,0.0006728582084178925,128,100,bcdcdcf5ebc9b7ffdb70b6f2350a39b13b32829d1d92f5ad397e85e5ae2319c0,/root/autodl-tmp/split_v4_n50_eval_20260922/models/cvrp/am_direct/epoch-100.pt,solutions/am_direct_n50/XML100_1112_05.json
2,CVRPLIB XML100,xml100_mvmoe_greedy_8fold_official_euc2d_v2,am_direct_n50,am,50,XML100_1112_06,1112,1,random,1,random,1,unitary,2,short,ok,,23686,22830,True,856,3.7494524748138414,17,ok,,24217,1387,6.075339465615419,17,0,0,1,8,1,1,0,0.0015885652974247932,0.0007003545761108398,128,100,bcdcdcf5ebc9b7ffdb70b6f2350a39b13b32829d1d92f5ad397e85e5ae2319c0,/root/autodl-tmp/split_v4_n50_eval_20260922/models/cvrp/am_direct/epoch-100.pt,solutions/am_direct_n50/XML100_1112_06.json
2,CVRPLIB XML100,xml100_mvmoe_greedy_8fold_official_euc2d_v2,am_direct_n50,am,50,XML100_1112_07,1112,1,random,1,random,1,unitary,2,short,ok,,24184,23362,True,822,3.5185343720571867,17,ok,,24792,1430,6.121051279856177,17,0,0,1,8,5,5,0,0.0015885652974247932,0.0006712302565574646,128,100,bcdcdcf5ebc9b7ffdb70b6f2350a39b13b32829d1d92f5ad397e85e5ae2319c0,/root/autodl-tmp/split_v4_n50_eval_20260922/models/cvrp/am_direct/epoch-100.pt,solutions/am_direct_n50/XML100_1112_07.json
2,CVRPLIB XML100,xml100_mvmoe_greedy_8fold_official_euc2d_v2,am_direct_n50,am,50,XML100_1112_08,1112,1,random,1,random,1,unitary,2,short,ok,,22376,21549,True,827,3.8377650935078194,15,ok,,22376,827,3.8377650935078194,15,0,0,1,8,0,0,0,0.0015885652974247932,0.0006457120180130005,128,100,bcdcdcf5ebc9b7ffdb70b6f2350a39b13b32829d1d92f5ad397e85e5ae2319c0,/root/autodl-tmp/split_v4_n50_eval_20260922/models/cvrp/am_direct/epoch-100.pt,solutions/am_direct_n50/XML100_1112_08.json
2,CVRPLIB XML100,xml100_mvmoe_greedy_8fold_official_euc2d_v2,am_direct_n50,am,50,XML100_1112_09,1112,1,random,1,random,1,unitary,2,short,ok,,25346,24512,True,834,3.4024151436031334,15,ok,,25346,834,3.4024151436031334,15,0,0,1,8,0,0,0,0.0015885652974247932,0.0006450116634368896,128,100,bcdcdcf5ebc9b7ffdb70b6f2350a39b13b32829d1d92f5ad397e85e5ae2319c0,/root/autodl-tmp/split_v4_n50_eval_20260922/models/cvrp/am_direct/epoch-100.pt,solutions/am_direct_n50/XML100_1112_09.json
2,CVRPLIB XML100,xml100_mvmoe_greedy_8fold_official_euc2d_v2,am_direct_n50,am,50,XML100_1112_10,1112,1,random,1,random,1,unitary,2,short,ok,,25575,25194,True,381,1.5122648249583235,20,ok,,26344,1150,4.564578867984441,21,0,0,1,8,5,5,0,0.0015885652974247932,0.0006087012588977814,128,100,bcdcdcf5ebc9b7ffdb70b6f2350a39b13b32829d1d92f5ad397e85e5ae2319c0,/root/autodl-tmp/split_v4_n50_eval_20260922/models/cvrp/am_direct/epoch-100.pt,solutions/am_direct_n50/XML100_1112_10.json
2,CVRPLIB XML100,xml100_mvmoe_greedy_8fold_official_euc2d_v2,am_direct_n50,am,50,XML100_1112_11,1112,1,random,1,random,1,unitary,2,short,ok,,23683,22629,True,1054,4.657740068054267,17,ok,,24205,1576,6.964514560961598,17,0,0,1,8,1,1,0,0.0015885652974247932,0.0006032660603523254,128,100,bcdcdcf5ebc9b7ffdb70b6f2350a39b13b32829d1d92f5ad397e85e5ae2319c0,/root/autodl-tmp/split_v4_n50_eval_20260922/models/cvrp/am_direct/epoch-100.pt,solutions/am_direct_n50/XML100_1112_11.json
2,CVRPLIB XML100,xml100_mvmoe_greedy_8fold_official_euc2d_v2,am_direct_n50,am,50,XML100_1112_12,1112,1,random,1,random,1,unitary,2,short,ok,,20605,19645,True,960,4.886739628404174,17,ok,,20866,1221,6.2153219648765585,17,0,0,1,8,3,3,0,0.0015885652974247932,0.0006530359387397766,128,100,bcdcdcf5ebc9b7ffdb70b6f2350a39b13b32829d1d92f5ad397e85e5ae2319c0,/root/autodl-tmp/split_v4_n50_eval_20260922/models/cvrp/am_direct/epoch-100.pt,solutions/am_direct_n50/XML100_1112_12.json
2,CVRPLIB XML100,xml100_mvmoe_greedy_8fold_official_euc2d_v2,am_direct_n50,am,50,XML100_1112_13,1112,1,random,1,random,1,unitary,2,short,ok,,22620,21710,True,910,4.191616766467066,15,ok,,22620,910,4.191616766467066,15,0,0,1,8,0,0,0,0.0015885652974247932,0.0006042271852493286,128,100,bcdcdcf5ebc9b7ffdb70b6f2350a39b13b32829d1d92f5ad397e85e5ae2319c0,/root/autodl-tmp/split_v4_n50_eval_20260922/models/cvrp/am_direct/epoch-100.pt,solutions/am_direct_n50/XML100_1112_13.json
